2015/4/17,21:58:12,GameData/Powers,W8T7ZwsUiX-,1,1
2014/5/3,19:48:57,GameData/Powers,#NAME?,29,29
2014/4/20,16:36:25,GameData/Powers,g37_VGUNqVS,25,25
2014/4/18,23:45:30,GameData/Powers,eGBpk0OwqVS,13,7
2013/2/8,0:07:40,GameData/Powers,DtXIhzIbGag,1,1
2012/12/22,23:15:31,GameData/Powers,4VYbbKv40Sl,1,1
2012/11/8,11:56:14,GameData/Powers,kgPhu0UQjpx,1,1
2012/11/6,14:48:21,GameData/Powers,Nxv492fE1ka,1,1
2012/9/1,4:10:11,GameData/Powers,Q1pyRKuzA1V,1,1
2012/8/10,19:56:04,GameData/Powers,SHyuqVMg-HH,1,1
2012/8/10,19:53:51,GameData/Powers,SHyuqVMg-HH,1,1
2012/7/21,8:35:37,GameData/Powers,fDTpYeaRy4H,1,1
2012/7/21,8:35:17,GameData/Powers,fDTpYeaRy4H,1,1
2012/7/21,8:34:33,GameData/Powers,fDTpYeaRy4H,2,2
2012/3/7,3:42:30,GameData/Powers,XfQOgpRc,1,1
2012/2/21,3:15:32,GameData/Powers,LF4gDzAI,1,1
2012/2/21,3:15:09,GameData/Powers,LF4gDzAI,3,3
2012/2/21,3:14:29,GameData/Powers,LF4gDzAI,3,3
2012/1/27,23:10:53,GameData/Powers,ODmoxpMm,2,2
2012/1/20,5:29:16,GameData/Powers,xjCNBdEf,1,2
2012/1/14,0:44:39,GameData/Powers,TRQ8YTZl,1,1
2012/1/14,0:32:14,GameData/Powers,TRQ8YTZl,1,0
2012/1/13,9:20:32,GameData/Powers,4XTtGWpH,1,1
2012/1/13,9:20:12,GameData/Powers,4XTtGWpH,1,0
2012/1/12,4:20:22,GameData/Powers,crDhrXUF,1,1
2012/1/12,4:19:38,GameData/Powers,crDhrXUF,1,0
2012/1/6,22:18:12,GameData/Powers,CZ1fXpJ6,2,2
2012/1/6,22:17:43,GameData/Powers,CZ1fXpJ6,3,3
2012/1/6,22:05:37,GameData/Powers,CZ1fXpJ6,1,1
2012/1/6,22:03:18,GameData/Powers,CZ1fXpJ6,3,2
2012/1/6,21:53:26,GameData/Powers,CZ1fXpJ6,5,1
2012/1/6,21:42:22,GameData/Powers,CZ1fXpJ6,1,0
2012/1/6,21:39:01,GameData/Powers,CZ1fXpJ6,2,0
2012/1/6,21:35:01,GameData/Powers,CZ1fXpJ6,6,2
2012/1/6,21:30:05,GameData/Powers,CZ1fXpJ6,6,1
2012/1/6,21:22:48,GameData/Powers,CZ1fXpJ6,1,1
2012/1/6,21:21:19,GameData/Powers,CZ1fXpJ6,6,1
2012/1/6,21:15:15,GameData/Powers,CZ1fXpJ6,5,1
2012/1/6,21:10:11,GameData/Powers,CZ1fXpJ6,9,0
